delta,epoch,epoch_time_seconds,epsilon,stage,total_steps,train_loss,val_accuracy,val_f1,val_loss,val_precision,val_recall
1e-05,1,1415.8982796669006,1.1723049418726936,1,1726,0.48549466769222865,0.9315207724546671,0.16692426162609988,,0.11946902654602945,0.27692307690887574
1e-05,2,1419.3826379776,1.6747213455324192,1,3452,0.45778857938176926,0.9742091220925242,0.11353711536545838,,0.38235294106401385,0.06666666666324786
1e-05,3,1420.848905801773,2.0674908400019523,1,5178,0.4372506100567854,0.9744632194117971,0.10666666434607412,,0.3999999998666667,0.06153846153530572
1e-05,4,1486.7340228557587,2.401698809472423,1,6904,0.4351837837405995,0.972303392197977,0.10655737383062357,,0.2653061223948355,0.06666666666324786
1e-05,5,1436.6780667304993,2.6998298182288716,1,8630,0.434157301556332,0.9669673484932448,0.11564625402864565,,0.17171717169982656,0.08717948717501643
1e-05,1,1169.7388498783112,2.972375229561118,2,10356,0.1122814475915903,,,0.0044370023873289725,,
1e-05,2,1180.9646639823914,3.2252801305345273,2,12082,0.09308238270523098,,,0.0033829896068909224,,
1e-05,3,1249.3501706123352,3.4626569753520355,2,13808,0.08362186458156048,,,0.0030620636766568905,,
1e-05,4,1275.100325345993,3.6873206907837157,2,15534,0.07996358599854786,,,0.002674719510549565,,
1e-05,5,1268.863310098648,3.9014061028630023,2,17260,0.07588309256375043,,,0.002867463294484347,,
1e-05,6,1257.5555346012115,4.106366831253874,2,18986,0.0750106546686809,,,0.0028525942869332024,,
1e-05,7,1285.7061352729797,4.303432261501048,2,20712,0.07428594235749537,,,0.003107846203991243,,
1e-05,8,1239.9536945819855,4.493656393409198,2,22438,0.07148706387870903,,,0.002774358184998939,,
1e-05,9,1228.4049620628357,4.6777668870502565,2,24164,0.07019344421787789,,,0.0028372373495342286,,
