metric,value
classification_precision,0.9880700404060264
classification_recall,0.5664644236066558
classification_f1,0.7200953536615343
classification_accuracy,0.7467487153455898
regression_mae_delayed,2.6911159
regression_rmse_delayed,3.4538224
num_delayed_samples,9065
target_epsilon,8
final_epsilon,5.683782811993067
epsilon_exceeded,False
epsilon_overshoot,0
final_delta,1e-05
stage1_time_seconds,9375.459295749664
stage2_time_seconds,16660.550379037857
total_training_time_seconds,26036.00967478752
total_training_time_minutes,433.933494579792
train_samples,55218
val_samples,7871
test_samples,15763
