metric,value
regression_mae_overall,5.145270041720933
regression_rmse_overall,7.4137979200028115
regression_mae_delayed,9.276206043807594
regression_rmse_delayed,11.895259733473385
regression_mae_nondelayed,2.400280185365256
regression_rmse_nondelayed,3.5586160034023613
num_delayed_samples,132461
num_nondelayed_samples,257013
target_epsilon,15.0
final_epsilon,101.90919259416813
epsilon_exceeded,True
final_delta,1e-05
training_time_seconds,15844.934381961823
training_time_minutes,264.0822396993637
train_samples,19207
val_samples,2727
test_samples,5474
