metric,value
classification_precision,0.7659526493790687
classification_recall,0.7494760066180369
classification_f1,0.7576247510633091
classification_accuracy,0.7242276216451663
regression_mae_delayed,3.628959
regression_rmse_delayed,4.427539
regression_mae_overall,4.2745266
regression_rmse_overall,5.2602205
num_delayed_samples,9065
target_epsilon,10.0
final_epsilon,2.0674908400019523
epsilon_exceeded,False
epsilon_overshoot,0
final_delta,1e-05
stage1_time_seconds,1376.2030782699585
stage2_time_seconds,1048.090339899063
stage3_time_seconds,1054.6303009986877
total_training_time_seconds,3478.9237191677094
total_training_time_minutes,57.98206198612849
train_samples,55218
val_samples,7871
test_samples,15763
