metric,value
classification_precision,0.744465528145173
classification_recall,0.3895201323768455
classification_f1,0.5114426374358236
classification_accuracy,0.5720357799907555
regression_mae_delayed,3.5270134509486377
regression_rmse_delayed,4.452518330620544
regression_mae_nondelayed,4.343905391759675
regression_rmse_nondelayed,5.466457687459174
regression_mae_overall,3.874126450983677
regression_rmse_overall,4.909015488694067
num_delayed_samples,9065
num_nondelayed_samples,6698
target_epsilon,15.0
final_epsilon,15.006193320793775
epsilon_exceeded,True
epsilon_overshoot,0.006193320793775214
final_delta,1e-05
stage1_time_seconds,4610.893238782883
stage2_time_seconds,3584.530247449875
stage3_time_seconds,2234.5025243759155
total_training_time_seconds,10429.926010608673
total_training_time_minutes,173.83210017681122
train_samples,55218
val_samples,7871
test_samples,15763
