metric,value
classification_precision,0.42949448362980364
classification_recall,0.7745438076280204
classification_f1,0.5523195508294592
classification_accuracy,0.696304507145449
regression_mae_delayed,8.449891036166278
regression_rmse_delayed,10.937459633653505
regression_mae_nondelayed,2.8994579967760354
regression_rmse_nondelayed,4.212732498458698
regression_mae_overall,6.000182548814671
regression_rmse_overall,8.002067866946296
num_delayed_samples,132249
num_nondelayed_samples,256584
target_epsilon,15.0
final_epsilon,4.680808437972914
epsilon_exceeded,False
epsilon_overshoot,0
final_delta,1e-05
stage1_time_seconds,10272.093397378922
stage2_time_seconds,5244.748270988464
stage3_time_seconds,6154.945800542831
total_training_time_seconds,21671.787468910217
total_training_time_minutes,361.1964578151703
train_samples,19191
val_samples,2711
test_samples,5458
