epoch,train_loss,train_mae,train_rmse,val_mae,val_rmse
1,0.4064884205484674,6.1661625,9.046049,6.6305594,8.946805
2,0.4194748686796179,6.246938,9.184953,6.3993964,9.088658
3,0.435789677506171,6.3798275,9.371731,6.1588526,8.872638
4,0.453384685266913,6.543339,9.552525,6.6371326,9.388565
5,0.4517436025950653,6.5863895,9.537831,6.1044717,9.039286
6,0.49592869865783507,6.670365,9.864053,7.578432,10.100046
7,0.5055976818334988,6.8846025,10.088993,6.789405,9.553513
8,0.5360842528340429,6.7860184,10.378699,6.672238,9.439165
9,0.5357703556215114,6.8205442,10.38776,6.732286,9.489692
10,0.5581045021845703,6.795753,10.481996,6.731614,9.499159
11,0.5367897709137802,6.8004823,10.399792,7.0182815,9.544325
12,0.5463117200604365,6.80713,10.476169,6.83427,9.561157
13,0.5411827637550245,6.859059,10.436298,7.0752816,9.636421
14,0.5479503026341978,6.86804,10.481513,6.664521,9.545273
15,0.5432655648545223,6.885152,10.459703,7.323942,9.900817
16,0.5502117343703602,6.8398066,10.520983,6.8568807,9.607796
17,0.547323785793516,6.8523645,10.487316,6.732358,9.550943
18,0.5434297723882191,6.80629,10.455515,7.288197,9.785788
19,0.5406974984947125,6.812499,10.426535,7.198291,9.722505
20,0.5422265964408828,6.8359213,10.447735,6.9150834,9.588564
21,0.5484162172724222,6.817386,10.506864,6.2492657,9.569148
22,0.5447655965583297,6.784869,10.466829,6.9638796,9.611265
23,0.540245449151589,6.800322,10.432048,6.8187757,9.551961
24,0.6169246405285108,6.8171735,10.617198,6.570041,9.553459
25,0.5619641679219005,6.8141427,10.525958,7.274996,9.761071
