delta,epoch,epoch_time_seconds,epsilon,stage,total_steps,train_loss,train_nondelayed,train_nondelayed_ratio,val_accuracy,val_f1,val_loss,val_nondelayed,val_nondelayed_ratio,val_precision,val_recall
1e-05,0,694.5179355144501,6.286276854819334,1,432,0.2666445765644312,,,0.8564168648020607,0.08554507239749165,,,,0.06289202535108411,0.13632102805397775
1e-05,1,800.3297126293182,11.293339769086423,1,864,0.2665776873904246,,,0.8261738388659849,0.09357812554855788,,,,0.06265320993590104,0.18528892948382458
1e-05,2,821.9190418720245,16.300402683353507,1,1296,0.2664184644473372,,,0.783841225475057,0.08997038607184074,,,,0.05773486769844663,0.22580220200316709
1e-05,3,683.3504867553711,21.307465597620595,1,1728,0.26584412147187525,,,0.8087518376680979,0.0899964193821474,,,,0.05910509800045985,0.19451863223806604
1e-05,4,723.4232823848724,26.314528511887683,1,2160,0.2661855623677925,,,0.8883959199230287,0.07920115936724828,,,,0.06608454791050522,0.10039142719863417
1e-05,5,810.6161093711853,31.321591426154768,1,2592,0.26632150662717996,,,0.6894023268054397,0.09326401325134004,,,,0.05445976922652324,0.33101333576778613
1e-05,6,887.0212230682373,36.328654340421856,1,3024,0.2660666693484894,,,0.664104216200507,0.09636253548606027,,,,0.05564035961313698,0.3666260193042761
1e-05,7,1006.2692747116089,41.335717254688944,1,3456,0.26588495710381754,,,0.8061990670998274,0.090966315693265,,,,0.06170195931034496,0.20994863263914426
1e-05,8,1206.2054102420807,46.34278016895603,1,3888,0.2659202210467171,,,0.8583797665934468,0.08840353725617665,,,,0.06490878683420136,0.1399951785249466
1e-05,9,1207.6145339012146,51.34984308322312,1,4320,0.2660962440487411,,,0.7673457720020914,0.09461472473902771,,,,0.05957991694525455,0.24803973102948057
1e-05,10,1206.287693977356,56.3569059974902,1,4752,0.26577613040528913,,,0.8483610722906719,0.0906653366391365,,,,0.06542401673805576,0.15368877056308528
1e-05,0,739.6655461788177,61.36396891175729,2,5184,0.2632964006452649,,,,,0.30305226331061563,,,,
1e-05,1,729.6090099811554,66.37103182602439,2,5616,0.25536311483355584,,,,,0.3037008526128439,,,,
1e-05,2,735.0082182884216,71.37809474029147,2,6048,0.25428028208100134,,,,,0.2945957770282582,,,,
1e-05,3,731.8958234786987,76.38515765455855,2,6480,0.25361603236308805,,,,,0.2909583762008685,,,,
1e-05,4,733.1238622665405,81.39222056882565,2,6912,0.25411319335991583,,,,,0.297408456504019,,,,
1e-05,5,731.3895404338837,86.39928348309273,2,7344,0.254525968287554,,,,,0.2996670613789507,,,,
1e-05,6,729.6171154975891,91.40634639735983,2,7776,0.25420195843886445,,,,,0.29924970143780344,,,,
1e-05,7,731.6508207321167,96.4134093116269,2,8208,0.2537780224035184,,,,,0.2921823307710064,,,,
1e-05,8,724.2287638187408,101.420472225894,2,8640,0.2536678066201232,,,,,0.2929214368292309,,,,
,0,303.01964497566223,101.420472225894,3,,0.29894025485824655,3983441.0,0.5152875873809265,,,15.838539268830786,594563.0,0.539560230139572,,
,1,304.0974907875061,101.420472225894,3,,0.06558614903716026,3983441.0,0.5152875873809265,,,9.050472421587278,594563.0,0.539560230139572,,
,2,304.695424079895,101.420472225894,3,,0.04878871150625249,3983441.0,0.5152875873809265,,,7.119846367762683,594563.0,0.539560230139572,,
,3,303.3486886024475,101.420472225894,3,,0.04093880936744864,3983441.0,0.5152875873809265,,,6.417402052801866,594563.0,0.539560230139572,,
,4,303.9629473686218,101.420472225894,3,,0.036773726921873515,3983441.0,0.5152875873809265,,,5.640664293890866,594563.0,0.539560230139572,,
,5,302.97059750556946,101.420472225894,3,,0.034379784319618786,3983441.0,0.5152875873809265,,,5.60857040150951,594563.0,0.539560230139572,,
,6,237.6868121623993,101.420472225894,3,,0.03280015093170934,3983441.0,0.5152875873809265,,,5.415289430848658,594563.0,0.539560230139572,,
,7,204.2367730140686,101.420472225894,3,,0.031640540174622506,3983441.0,0.5152875873809265,,,5.40823763375813,594563.0,0.539560230139572,,
,8,202.95468926429749,101.420472225894,3,,0.03076167287805152,3983441.0,0.5152875873809265,,,5.509754856814642,594563.0,0.539560230139572,,
,9,203.28062748908997,101.420472225894,3,,0.030123175527141603,3983441.0,0.5152875873809265,,,5.30288766383806,594563.0,0.539560230139572,,
,10,205.5536608695984,101.420472225894,3,,0.029587640914272656,3983441.0,0.5152875873809265,,,5.7592802702827965,594563.0,0.539560230139572,,
,11,203.48906636238098,101.420472225894,3,,0.029181189326293492,3983441.0,0.5152875873809265,,,5.009855726898852,594563.0,0.539560230139572,,
,12,203.3386332988739,101.420472225894,3,,0.02884804442335196,3983441.0,0.5152875873809265,,,4.9831066378025834,594563.0,0.539560230139572,,
