metric,value
classification_precision,0.2638898150978912
classification_recall,0.5771752357975404
classification_f1,0.3610672099382895
classification_accuracy,0.6303259894327528
regression_mae_delayed,7.4019844060825895
regression_rmse_delayed,10.355279252728598
regression_mae_nondelayed,3.7728040991816094
regression_rmse_nondelayed,4.232066799088157
regression_mae_overall,6.209515436465258
regression_rmse_overall,7.139221639276813
num_delayed_samples,404599
num_nondelayed_samples,191834
target_epsilon,15.0
final_epsilon,101.420472225894
epsilon_exceeded,True
epsilon_overshoot,86.420472225894
final_delta,1e-05
stage1_time_seconds,10047.727526187897
stage2_time_seconds,6586.324824810028
stage3_time_seconds,3282.9860332012177
total_training_time_seconds,19917.038384199142
total_training_time_minutes,331.95063973665236
train_samples,55218
val_samples,7871
test_samples,15763
