metric,value
regression_mae_overall,5.68230934926565
regression_rmse_overall,8.687966507673929
regression_mae_delayed,13.359698902802503
regression_rmse_delayed,15.915181170432112
regression_mae_nondelayed,2.9422951085388616
regression_rmse_nondelayed,3.7342121708111318
num_delayed_samples,132461
num_nondelayed_samples,257013
target_epsilon,15.0
final_epsilon,3.779344101431094
epsilon_exceeded,False
final_delta,1e-05
training_time_seconds,1379.8756783008575
training_time_minutes,22.99792797168096
train_samples,19207
val_samples,2727
test_samples,5474
