metric,value
classification_precision,0.2428318883993299
classification_recall,0.6681730729302576
classification_f1,0.32875563006308756
classification_accuracy,0.39970405553524296
regression_mae_delayed,13.91011980520954
regression_rmse_delayed,16.23061141160901
regression_mae_nondelayed,0.18724126311516395
regression_rmse_nondelayed,0.4161742113029073
regression_mae_overall,4.316865015165171
regression_rmse_overall,8.149426111448783
num_delayed_samples,132461
num_nondelayed_samples,257013
target_epsilon,15.0
final_epsilon,1.7269209700684702
epsilon_exceeded,False
epsilon_overshoot,0
final_delta,1e-05
stage1_time_seconds,4916.48363161087
stage2_time_seconds,3503.54585814476
stage3_time_seconds,4386.746051073074
total_training_time_seconds,12806.775540828705
total_training_time_minutes,213.44625901381175
train_samples,19207
val_samples,2727
test_samples,5474
