threshold,f1_macro,f1_arrival,f1_departure
0.050000,0.389166,0.417677,0.360656
0.100000,0.389167,0.417677,0.360657
0.150000,0.389236,0.417678,0.360793
0.200000,0.389893,0.417678,0.362108
0.250000,0.393673,0.418436,0.368911
0.300000,0.405236,0.422648,0.387824
0.350000,0.425337,0.432089,0.418584
0.400000,0.453358,0.448585,0.458131
0.450000,0.482251,0.474473,0.490029
0.500000,0.508016,0.499333,0.516699
0.550000,0.467389,0.413702,0.521076
0.600000,0.219182,0.017834,0.420530
0.650000,0.060797,0.000083,0.121510
0.700000,0.000017,0.000000,0.000033
0.750000,0.000000,0.000000,0.000000
0.800000,0.000000,0.000000,0.000000
0.850000,0.000000,0.000000,0.000000
0.900000,0.000000,0.000000,0.000000
0.950000,0.000000,0.000000,0.000000
