================================================================================,,,,,,,,,,,,================================================================================,,,,,,,,,,,,,================================================================================,,,,,,,,,,,,,,================================================================================,,,,,,,,,,,,,================================================================================,,,,,,,,,,,,,,================================================================================,,,,,,,,,,,
COMPREHENSIVE EVALUATION RESULTS,,,,,,,,,,,,COMPREHENSIVE EVALUATION RESULTS,,,,,,,,,,,,,COMPREHENSIVE EVALUATION RESULTS,,,,,,,,,,,,,,COMPREHENSIVE EVALUATION RESULTS,,,,,,,,,,,,,COMPREHENSIVE EVALUATION RESULTS,,,,,,,,,,,,,,COMPREHENSIVE EVALUATION RESULTS,,,,,,,,,,,
================================================================================,,,,,,,,,,,,================================================================================,,,,,,,,,,,,,================================================================================,,,,,,,,,,,,,,================================================================================,,,,,,,,,,,,,================================================================================,,,,,,,,,,,,,,================================================================================,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MODEL INFORMATION,,,,,,,,,,,,MODEL INFORMATION,,,,,,,,,,,,,MODEL INFORMATION,,,,,,,,,,,,,,MODEL INFORMATION,,,,,,,,,,,,,MODEL INFORMATION,,,,,,,,,,,,,,MODEL INFORMATION,,,,,,,,,,,
Model Path,kan_gat_dp_three_stage.pth,,,,,,,,,,,Model Path,kan_gat_dp_three_stage.pth,,,,,,,,,,,,Model Path,kan_gat_dp_three_stage.pth,,,,,,,,,,,,,Model Path,kan_gat_dp_three_stage.pth,,,,,,,,,,,,Model Path,kan_gat_dp_three_stage.pth,,,,,,,,,,,,,Model Path,kan_gat_dp_three_stage.pth,,,,,,,,,,
Model Type,Three-Stage DP,,,,,,,,,,,Model Type,Three-Stage DP,,,,,,,,,,,,Model Type,Three-Stage DP,,,,,,,,,,,,,Model Type,Three-Stage DP,,,,,,,,,,,,Model Type,Three-Stage DP,,,,,,,,,,,,,Model Type,Three-Stage DP,,,,,,,,,,
Data Source,udata,,,,,,,,,,,Data Source,udata,,,,,,,,,,,,Data Source,udata,,,,,,,,,,,,,Data Source,udata,,,,,,,,,,,,Data Source,udata,,,,,,,,,,,,,Data Source,udata,,,,,,,,,,
Sequence Length,8,,,,,,,,,,,Sequence Length,8,,,,,,,,,,,,Sequence Length,8,,,,,,,,,,,,,Sequence Length,8,,,,,,,,,,,,Sequence Length,8,,,,,,,,,,,,,Sequence Length,8,,,,,,,,,,
Delay Threshold,5.0 min,,,,,,,,,,,Delay Threshold,5.0 min,,,,,,,,,,,,Delay Threshold,5.0 min,,,,,,,,,,,,,Delay Threshold,5.0 min,,,,,,,,,,,,Delay Threshold,5.0 min,,,,,,,,,,,,,Delay Threshold,5.0 min,,,,,,,,,,
Classification Threshold,0.5,,,,,,,,,,,Classification Threshold,0.5,,,,,,,,,,,,Classification Threshold,0.5,,,,,,,,,,,,,Classification Threshold,0.5,,,,,,,,,,,,Classification Threshold,0.5,,,,,,,,,,,,,Classification Threshold,0.5,,,,,,,,,,
Final Epsilon,2.067,,,,,,,,,,,Final Epsilon,2.739,,,,,,,,,,,,Final Epsilon,3.385,,,,,,,,,,,,,Final Epsilon,4.546,,,,,,,,,,,,Final Epsilon,4.977,,,,,,,,,,,,,Final Epsilon,5.99,(prev),,,,,,,,,
Final Delta,1.00E-05,,,,,,,,,,,Final Delta,1.00E-05,,,,,,,,,,,,Final Delta,1.00E-05,,,,,,,,,,,,,Final Delta,1.00E-05,,,,,,,,,,,,Final Delta,1.00E-05,,,,,,,,,,,,,Final Delta,1.00E-05,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,================================================================================,,,,,,,,,,,,,================================================================================,,,,,,,,,,,,,,================================================================================,,,,,,,,,,,,,================================================================================,,,,,,,,,,,,,,================================================================================,,,,,,,,,,,
CLASSIFICATION METRICS,,,,,,,,,,,,CLASSIFICATION METRICS,,,,,,,,,,,,,CLASSIFICATION METRICS,,,,,,,,,,,,,,CLASSIFICATION METRICS,,,,,,,,,,,,,CLASSIFICATION METRICS,,,,,,,,,,,,,,CLASSIFICATION METRICS,,,,,,,,,,,
================================================================================,,,,,,,,,,,,================================================================================,,,,,,,,,,,,,================================================================================,,,,,,,,,,,,,,================================================================================,,,,,,,,,,,,,================================================================================,,,,,,,,,,,,,,================================================================================,,,,,,,,,,,
Metric,Value,,,,,,,,,,,Metric,Value,,,,,,,,,,,,Metric,Value,,,,,,,,,,,,,Metric,Value,,,,,,,,,,,,Metric,Value,,,,,,,,,,,,,Metric,Value,,,,,,,,,,
Precision,0.953,,,,,,,,,,,Precision,0.9848,,,,,,,,,,,,Precision,0.987,,,,,,,,,,,,,Precision,0.9942,,,,,,,,,,,,Precision,0.9823,,,,,,,,,,,,,Precision,0.9881,,,,,,,,,,
Recall,0.7135,,,,,,,,,,,Recall,0.551,,,,,,,,,,,,Recall,0.5771,,,,,,,,,,,,,Recall,0.4886,,,,,,,,,,,,Recall,0.5687,,,,,,,,,,,,,Recall,0.5665,,,,,,,,,,
F1 Score,0.816,,,,,,,,,,,F1 Score,0.7067,,,,,,,,,,,,F1 Score,0.7283,,,,,,,,,,,,,F1 Score,0.6552,,,,,,,,,,,,F1 Score,0.7203,,,,,,,,,,,,,F1 Score,0.7201,,,,,,,,,,
Accuracy,0.815,,,,,,,,,,,Accuracy,0.7369,,,,,,,,,,,,Accuracy,0.7524,,,,,,,,,,,,,Accuracy,0.7042,,,,,,,,,,,,Accuracy,0.7461,,,,,,,,,,,,,Accuracy,0.7467,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,================================================================================,,,,,,,,,,,,,================================================================================,,,,,,,,,,,,,,================================================================================,,,,,,,,,,,,,================================================================================,,,,,,,,,,,,,,================================================================================,,,,,,,,,,,
OVERALL SUMMARY TABLE,,,,,,,,,,,,OVERALL SUMMARY TABLE,,,,,,,,,,,,,OVERALL SUMMARY TABLE,,,,,,,,,,,,,,OVERALL SUMMARY TABLE,,,,,,,,,,,,,OVERALL SUMMARY TABLE,,,,,,,,,,,,,,OVERALL SUMMARY TABLE,,,,,,,,,,,
