metric,value
classification_f1_macro,0.569748
classification_f1_arrival,0.572568
classification_f1_departure,0.566928
regression_mae_delayed,9.428542
regression_rmse_delayed,11.701210
regression_mae_nondelayed,3.513429
regression_rmse_nondelayed,6.939889
regression_mae_overall,4.945874
regression_rmse_overall,8.346010
stage1_time_seconds,7260.83
stage2_time_seconds,567.46
stage3_time_seconds,881.27
total_time_seconds,8709.56
dp_enabled,0
epsilon_target,7.500000
epsilon_approx_final,0.000000
delta,0.000010000000
noise_multiplier,0.000000
max_grad_norm,1.000000
