metric,value,,
classification_f1_macro,0.580527,,
classification_f1_arrival,0.591775,,
classification_f1_departure,0.569279,,
regression_mae_delayed,8.913949,,
regression_rmse_delayed,11.004156,,
regression_mae_nondelayed,4.459705,,
regression_rmse_nondelayed,7.746399,,
regression_mae_overall,5.538376,,mlpd
regression_rmse_overall,8.648665,,
stage1_time_seconds,10619.87,,
stage2_time_seconds,1149.83,,
stage3_time_seconds,875.29,,
total_time_seconds,12644.98,,
dp_enabled,1,,
epsilon_target,7.5,,
epsilon_approx_final,7.497717,,
delta,0.00001,,
noise_multiplier,0.507862,,
max_grad_norm,1,,
