metric,value,
classification_f1_macro,0.580527,
classification_f1_arrival,0.591775,
classification_f1_departure,0.569279,
regression_mae_delayed,8.880543,gru
regression_rmse_delayed,11.006484,
regression_mae_nondelayed,4.324045,
regression_rmse_nondelayed,7.618095,
regression_mae_overall,5.427478,
regression_rmse_overall,8.562586,
stage1_time_seconds,5307.75,
stage2_time_seconds,2114.53,
stage3_time_seconds,3458.59,
total_time_seconds,10880.88,
dp_enabled,1,
epsilon_target,7.5,
epsilon_approx_final,7.497717,
delta,0.00001,
noise_multiplier,0.507862,
max_grad_norm,1,
