split,metric,value
train,ontime_mae_3step,2.8096578121185303
train,ontime_rmse_3step,3.2882440090179443
train,ontime_count_3step,672
train,ontime_mean_pred_3step,0.7559143900871277
train,ontime_mean_target_3step,3.1623666286468506
train,delayed_mae_3step,21.579662322998047
train,delayed_rmse_3step,22.503124237060547
train,delayed_count_3step,109764
train,delayed_mean_pred_3step,4.117857933044434
train,delayed_mean_target_3step,25.69526481628418
train,all_mae_3step,21.46544647216797
train,all_rmse_3step,22.436019897460938
train,all_count_3step,110436
train,all_mean_pred_3step,4.097400188446045
train,all_mean_target_3step,25.558151245117188
train,ontime_mae_6step,2.8888492584228516
train,ontime_rmse_6step,3.4153950214385986
train,ontime_count_6step,672
train,ontime_mean_pred_6step,1.4499287605285645
train,ontime_mean_target_6step,3.1623666286468506
train,delayed_mae_6step,21.173490524291992
train,delayed_rmse_6step,22.15207290649414
train,delayed_count_6step,109764
train,delayed_mean_pred_6step,4.529225826263428
train,delayed_mean_target_6step,25.695497512817383
train,all_mae_6step,21.06222915649414
train,all_rmse_6step,22.086179733276367
train,all_count_6step,110436
train,all_mean_pred_6step,4.510489463806152
train,all_mean_target_6step,25.55838394165039
train,ontime_mae_12step,2.1812407970428467
train,ontime_rmse_12step,2.6435585021972656
train,ontime_count_12step,672
train,ontime_mean_pred_12step,3.3121330738067627
train,ontime_mean_target_12step,3.1623666286468506
train,delayed_mae_12step,20.787553787231445
train,delayed_rmse_12step,21.815837860107422
train,delayed_count_12step,109764
train,delayed_mean_pred_12step,4.918331146240234
train,delayed_mean_target_12step,25.69600486755371
train,all_mae_12step,20.674333572387695
train,all_rmse_12step,21.750341415405273
train,all_count_12step,110436
train,all_mean_pred_12step,4.908556938171387
train,all_mean_target_12step,25.558889389038086
test,ontime_mae_3step,2.5485177040100098
test,ontime_rmse_3step,3.0786311626434326
test,ontime_count_3step,674
test,ontime_mean_pred_3step,0.07827719300985336
test,ontime_mean_target_3step,2.105631113052368
test,delayed_mae_3step,21.929420471191406
test,delayed_rmse_3step,22.996728897094727
test,delayed_count_3step,30852
test,delayed_mean_pred_3step,3.050172805786133
test,delayed_mean_target_3step,24.979454040527344
test,all_mae_3step,21.515073776245117
test,all_rmse_3step,22.754030227661133
test,all_count_3step,31526
test,all_mean_pred_3step,2.986635684967041
test,all_mean_target_3step,24.490432739257812
test,ontime_mae_6step,2.483034372329712
test,ontime_rmse_6step,3.0171287059783936
test,ontime_count_6step,673
test,ontime_mean_pred_6step,0.2362552136182785
test,ontime_mean_target_6step,2.105788230895996
test,delayed_mae_6step,21.566364288330078
test,delayed_rmse_6step,22.68282127380371
test,delayed_count_6step,30853
test,delayed_mean_pred_6step,3.4186487197875977
test,delayed_mean_target_6step,24.98102378845215
test,all_mae_6step,21.158985137939453
test,all_rmse_6step,22.44373321533203
test,all_count_6step,31526
test,all_mean_pred_6step,3.350713014602661
test,all_mean_target_6step,24.492692947387695
test,ontime_mae_12step,1.9128938913345337
test,ontime_rmse_12step,2.336775541305542
test,ontime_count_12step,670
test,ontime_mean_pred_12step,1.8388252258300781
test,ontime_mean_target_12step,2.1035354137420654
test,delayed_mae_12step,20.895177841186523
test,delayed_rmse_12step,22.066389083862305
test,delayed_count_12step,30856
test,delayed_mean_pred_12step,4.093505859375
test,delayed_mean_target_12step,24.984764099121094
test,all_mae_12step,20.49176025390625
test,all_rmse_12step,21.83330726623535
test,all_count_12step,31526
test,all_mean_pred_12step,4.045588970184326
test,all_mean_target_12step,24.49848747253418
