split,class,horizon,mae,rmse,count,mean_pred,mean_target
train,ontime,3,2.8097,3.2882,672,0.7559,3.1624
train,ontime,6,2.8888,3.4154,672,1.4499,3.1624
train,ontime,12,2.1812,2.6436,672,3.3121,3.1624
train,delayed,3,21.5797,22.5031,109764,4.1179,25.6953
train,delayed,6,21.1735,22.1521,109764,4.5292,25.6955
train,delayed,12,20.7876,21.8158,109764,4.9183,25.6960
train,all,3,21.4654,22.4360,110436,4.0974,25.5582
train,all,6,21.0622,22.0862,110436,4.5105,25.5584
train,all,12,20.6743,21.7503,110436,4.9086,25.5589
test,ontime,3,2.5485,3.0786,674,0.0783,2.1056
test,ontime,6,2.4830,3.0171,673,0.2363,2.1058
test,ontime,12,1.9129,2.3368,670,1.8388,2.1035
test,delayed,3,21.9294,22.9967,30852,3.0502,24.9795
test,delayed,6,21.5664,22.6828,30853,3.4186,24.9810
test,delayed,12,20.8952,22.0664,30856,4.0935,24.9848
test,all,3,21.5151,22.7540,31526,2.9866,24.4904
test,all,6,21.1590,22.4437,31526,3.3507,24.4927
test,all,12,20.4918,21.8333,31526,4.0456,24.4985
