delta,epoch,epsilon,stage,target_epsilon,train_loss,val_accuracy,val_f1,val_loss
0.0,1,0.0,1,0.0,0.7627804439269438,0.7171659919027812,0.4722335951763509,
0.0,2,0.0,1,0.0,0.7485327811583292,0.7095362532204115,0.47187717851537986,
0.0,3,0.0,1,0.0,0.746431988957851,0.6923665807875824,0.46911205153458124,
0.0,4,0.0,1,0.0,0.7458232260602542,0.6610673536988839,0.46024197397965494,
0.0,5,0.0,1,0.0,0.7456089647396879,0.7113986013985489,0.46782597551705574,
0.0,6,0.0,1,0.0,0.7453506108632753,0.6836878910562617,0.46503001256119353,
0.0,1,0.0,2,0.0,0.16593001355116735,,,0.1473850912141595
0.0,2,0.0,2,0.0,0.16390311370995497,,,0.14724567845000297
0.0,3,0.0,2,0.0,0.16358150471926974,,,0.1472145577932069
0.0,4,0.0,2,0.0,0.16364473157737947,,,0.14478636083260868
0.0,5,0.0,2,0.0,0.16373679992909526,,,0.14280154383862997
0.0,6,0.0,2,0.0,0.16361475605731265,,,0.1482179043183409
0.0,7,0.0,2,0.0,0.1632708151128951,,,0.1492175021601094
0.0,8,0.0,2,0.0,0.16311831687467515,,,0.14843718846631968
0.0,9,0.0,2,0.0,0.16306702733918266,,,0.14670404572664472
0.0,10,0.0,2,0.0,0.1628791113669998,,,0.14713227173552249
0.0,1,0.0,3,0.0,0.006982316118719692,,,0.011440276109229593
0.0,2,0.0,3,0.0,0.0066267315712992166,,,0.011347565561756432
0.0,3,0.0,3,0.0,0.006551275049217262,,,0.011393786375539384
0.0,4,0.0,3,0.0,0.006501006175479217,,,0.011245730856782703
0.0,5,0.0,3,0.0,0.006460145160691973,,,0.011105303080373649
0.0,6,0.0,3,0.0,0.006427666623358734,,,0.011188698735543248
0.0,7,0.0,3,0.0,0.006412037076400213,,,0.011130142407726388
0.0,8,0.0,3,0.0,0.006396997268688034,,,0.011249272206056295
0.0,9,0.0,3,0.0,0.0063882014677167,,,0.011139193381747497
0.0,10,0.0,3,0.0,0.006375700317345068,,,0.011152348324123793
