delta,epoch,epsilon,stage,target_epsilon,train_loss,val_accuracy,val_f1,val_loss
0.0,1,0.0,1,0.0,0.7902548447406333,0.678652926021297,0.4602885149616044,
0.0,2,0.0,1,0.0,0.7570529898728456,0.7041516378357965,0.46671647825696794,
0.0,3,0.0,1,0.0,0.7525730522577525,0.7163489142435984,0.464707669229084,
0.0,4,0.0,1,0.0,0.7497245258698625,0.7098675009200801,0.4677425964429991,
0.0,5,0.0,1,0.0,0.7477032371316473,0.7188406330511063,0.4643292840502521,
0.0,6,0.0,1,0.0,0.7464880416411722,0.6958925285240561,0.4667860699994484,
0.0,7,0.0,1,0.0,0.7454219593560419,0.6978836952520648,0.4659613153764764,
0.0,8,0.0,1,0.0,0.744166233462313,0.7089326463010152,0.4669585380231561,
0.0,9,0.0,1,0.0,0.7437402985674059,0.6987707029811778,0.46791677247863406,
0.0,10,0.0,1,0.0,0.7430974408352207,0.704596981965351,0.47108296862471544,
0.0,1,0.0,2,0.0,0.1672119993769143,,,0.152683355845141
0.0,2,0.0,2,0.0,0.16330774508120538,,,0.14724748114649233
0.0,3,0.0,2,0.0,0.16272413791036822,,,0.14851386159867366
0.0,4,0.0,2,0.0,0.16244710831204615,,,0.14593143731845884
0.0,5,0.0,2,0.0,0.1622496825104063,,,0.14380801985569774
0.0,6,0.0,2,0.0,0.16218095135254745,,,0.14399785073972285
0.0,7,0.0,2,0.0,0.16211583522176004,,,0.14657935965784322
0.0,8,0.0,2,0.0,0.1620841370843337,,,0.14400801692387905
0.0,9,0.0,2,0.0,0.16204321233589955,,,0.14716901116777878
0.0,10,0.0,2,0.0,0.16199587082510694,,,0.14641365112950908
0.0,1,0.0,3,0.0,0.007442085986610906,,,0.012059344065142356
0.0,2,0.0,3,0.0,0.006993291666436241,,,0.011702169205722875
0.0,3,0.0,3,0.0,0.006805042989526434,,,0.011413593330039244
0.0,4,0.0,3,0.0,0.006689901620129242,,,0.011277880140504544
0.0,5,0.0,3,0.0,0.006617045729110804,,,0.011183011185987538
0.0,6,0.0,3,0.0,0.006569359793512076,,,0.011117578571367815
0.0,7,0.0,3,0.0,0.006534303546854349,,,0.01108193338020123
0.0,8,0.0,3,0.0,0.006502269484834568,,,0.011042378269472181
0.0,9,0.0,3,0.0,0.006477620899610203,,,0.010977672598699723
0.0,10,0.0,3,0.0,0.006447679863010018,,,0.010924260117384047
0.0,11,0.0,3,0.0,0.0064298116150999,,,0.010897373795927425
0.0,12,0.0,3,0.0,0.006413518568159549,,,0.01091589511684611
0.0,13,0.0,3,0.0,0.006400109956690097,,,0.010871822953618207
0.0,14,0.0,3,0.0,0.0063905303867853765,,,0.010840432450269956
