delta,epoch,epsilon,stage,target_epsilon,train_loss,val_accuracy,val_f1,val_loss
0.0,1,0.0,1,0.0,0.775000187636185,0.7108686050790789,0.4676679215973071,
0.0,2,0.0,1,0.0,0.7504759666187727,0.7005447184394036,0.46976186830118605,
0.0,3,0.0,1,0.0,0.7460344245383567,0.7066617592932861,0.4689282602387266,
0.0,4,0.0,1,0.0,0.7442083172033106,0.6655023923444485,0.4614772551414482,
0.0,5,0.0,1,0.0,0.7430523890643222,0.714604343025343,0.47140200395993803,
0.0,6,0.0,1,0.0,0.7425797047154622,0.6793117408906382,0.4665154160612532,
0.0,7,0.0,1,0.0,0.7413551363667732,0.733503864556442,0.4731547919326313,
0.0,8,0.0,1,0.0,0.7413601167013117,0.7221383879278084,0.4730067419774854,
0.0,9,0.0,1,0.0,0.7410710404621311,0.7033529628265952,0.4691412777106291,
0.0,10,0.0,1,0.0,0.7405628808961611,0.7078174457121305,0.46965038114303703,
0.0,1,0.0,2,0.0,0.16558877006073766,,,0.1475468533089044
0.0,2,0.0,2,0.0,0.16268480885510572,,,0.14341669699311757
0.0,3,0.0,2,0.0,0.16233255272588593,,,0.14732956656609664
0.0,4,0.0,2,0.0,0.1623260851787484,,,0.1457110115784271
0.0,5,0.0,2,0.0,0.16202196375799516,,,0.14387086907881483
0.0,6,0.0,2,0.0,0.16205161627283665,,,0.1445043071279681
0.0,7,0.0,2,0.0,0.16174493740104331,,,0.14439567388889016
0.0,1,0.0,3,0.0,0.0071256178774093135,,,0.011553490946797558
0.0,2,0.0,3,0.0,0.006718008392107881,,,0.011370658553670763
0.0,3,0.0,3,0.0,0.006639069072221783,,,0.011297623981594158
0.0,4,0.0,3,0.0,0.006593172140339989,,,0.011236658234841955
0.0,5,0.0,3,0.0,0.006563144923517196,,,0.011156363967889302
0.0,6,0.0,3,0.0,0.006534660158751676,,,0.011133150279622188
0.0,7,0.0,3,0.0,0.006516466692762505,,,0.01110534531105932
0.0,8,0.0,3,0.0,0.006503948473184506,,,0.011094125267359378
0.0,9,0.0,3,0.0,0.006488298931234598,,,0.011105489550526865
0.0,10,0.0,3,0.0,0.0064828700036213905,,,0.011056480553646164
0.0,11,0.0,3,0.0,0.006466902279872353,,,0.011066287872388359
