delta,epoch,epsilon,stage,target_epsilon,train_loss,val_accuracy,val_f1,val_loss
0.0,1,0.0,1,0.0,0.7629866716813393,0.7260323886639142,0.46831736263147383,
0.0,2,0.0,1,0.0,0.7463022517296244,0.7331542142067917,0.4682322357395706,
0.0,3,0.0,1,0.0,0.7424959493465633,0.739683474420262,0.4724827249301299,
0.0,4,0.0,1,0.0,0.7405792734771768,0.709808612440139,0.47208940646738595,
0.0,5,0.0,1,0.0,0.7395267144350346,0.6871696724327796,0.46808964719921403,
0.0,6,0.0,1,0.0,0.7382905198259652,0.6977254324622232,0.4713017634741648,
0.0,7,0.0,1,0.0,0.7373265492722142,0.7073242546926236,0.4713336104856034,
0.0,8,0.0,1,0.0,0.7366672266273697,0.7051711446447769,0.47005252957455845,
0.0,1,0.0,2,0.0,0.16478354348106747,,,0.14246612629099775
0.0,2,0.0,2,0.0,0.16171659123193236,,,0.14006008728633762
0.0,3,0.0,2,0.0,0.1611889919286475,,,0.13921253398835146
0.0,4,0.0,2,0.0,0.16084036870173182,,,0.13801559232164268
0.0,5,0.0,2,0.0,0.16065992214328195,,,0.13654032181444212
0.0,6,0.0,2,0.0,0.16060825751408256,,,0.14082214499395546
0.0,7,0.0,2,0.0,0.16051227604549514,,,0.139225642336242
0.0,8,0.0,2,0.0,0.16043546625529012,,,0.13952682682545225
0.0,9,0.0,2,0.0,0.16035768013496213,,,0.13640207014927508
0.0,10,0.0,2,0.0,0.16021259052434994,,,0.1354632288117901
0.0,1,0.0,3,0.0,0.007366529014129236,,,0.01082979720925335
0.0,2,0.0,3,0.0,0.006450901640894348,,,0.01071765429758828
0.0,3,0.0,3,0.0,0.0063887529981440086,,,0.01064837077412685
0.0,4,0.0,3,0.0,0.006351698362749198,,,0.010615123219926996
0.0,5,0.0,3,0.0,0.006332149139603475,,,0.01059069092846768
0.0,6,0.0,3,0.0,0.006320284793121607,,,0.010589235573908925
0.0,7,0.0,3,0.0,0.006303547349181866,,,0.010574186136355098
0.0,8,0.0,3,0.0,0.006294908098094951,,,0.010558328769621747
0.0,9,0.0,3,0.0,0.006279528019684607,,,0.010546730079713667
