delta,epoch,epsilon,stage,target_epsilon,train_loss,val_accuracy,val_f1,val_loss
0.0,1,0.0,1,0.0,0.7756653320124767,0.7191093117408376,0.465250388776129,
0.0,2,0.0,1,0.0,0.7460474838619711,0.7070371733529107,0.46540321885689484,
0.0,3,0.0,1,0.0,0.741386291344155,0.7009790209789694,0.4687585553521877,
0.0,4,0.0,1,0.0,0.739306368973135,0.7130732425468742,0.4716942041612948,
0.0,5,0.0,1,0.0,0.7377837354356558,0.7057048214942432,0.47156611520130876,
0.0,6,0.0,1,0.0,0.7368294716390109,0.7083584836215893,0.47357318511993884,
0.0,7,0.0,1,0.0,0.7361026452553688,0.7414170040485284,0.4739386423549471,
0.0,8,0.0,1,0.0,0.7352024025521491,0.7094773647404704,0.47330943456846297,
0.0,9,0.0,1,0.0,0.7349328434317867,0.7160066249539406,0.47044450474083005,
0.0,10,0.0,1,0.0,0.7342077838433333,0.6994405594405079,0.47098940098146413,
0.0,1,0.0,2,0.0,0.1633496332837124,,,0.14492620630731293
0.0,2,0.0,2,0.0,0.16083001031096408,,,0.14362999858091774
0.0,3,0.0,2,0.0,0.16057614912868945,,,0.1427892697295676
0.0,4,0.0,2,0.0,0.16037391990951838,,,0.14050597555353525
0.0,5,0.0,2,0.0,0.16001756512131426,,,0.14194195978954063
0.0,6,0.0,2,0.0,0.1598407607381504,,,0.14189446165925548
0.0,7,0.0,2,0.0,0.15969960646598014,,,0.14515054064518693
0.0,8,0.0,2,0.0,0.1595584249154238,,,0.13815311363119046
0.0,9,0.0,2,0.0,0.15958819657794696,,,0.13786161387503224
0.0,10,0.0,2,0.0,0.1595695997131494,,,0.13839460508251697
0.0,1,0.0,3,0.0,0.007095268799609856,,,0.011564064651637295
0.0,2,0.0,3,0.0,0.006587250093570753,,,0.011160286257706731
0.0,3,0.0,3,0.0,0.006455167290903916,,,0.010990177237456074
0.0,4,0.0,3,0.0,0.006396834397628639,,,0.01090503625698324
0.0,5,0.0,3,0.0,0.006366497464161282,,,0.010856855116764869
0.0,6,0.0,3,0.0,0.0063458305312381206,,,0.010842045637487597
0.0,7,0.0,3,0.0,0.006331733852427648,,,0.010804725422810378
0.0,8,0.0,3,0.0,0.006324599344242602,,,0.010786088554013713
0.0,9,0.0,3,0.0,0.006312113584510616,,,0.010779219228195549
0.0,10,0.0,3,0.0,0.006304799038244853,,,0.010767302987666818
