================================================================================
COMPREHENSIVE EVALUATION RESULTS
================================================================================

MODEL,STPN
DP Enabled,False
Target Epsilon,7.5000
Final Epsilon,0.0000
Final Delta,0.00e+00

CLASSIFICATION METRICS (Macro over Arrival/Departure)
Precision,0.2300
Recall,0.7801
F1 Score,0.3537
Accuracy,0.3128

Per-Channel Metrics:
Channel,Precision,Recall,F1 Score,Accuracy
Arrival,0.2494,0.7226,0.3709,0.3523
Departure,0.2106,0.8376,0.3366,0.2732

REGRESSION (delayed),MAE=9.6277,RMSE=12.2894
REGRESSION (non-delayed),MAE=6.3875,RMSE=6.5783
REGRESSION (overall),MAE=7.1722,RMSE=8.3288

SUMMARY (raw metric/value)
metric,value
classification_precision,0.23004522300432428
classification_recall,0.7801036031376405
classification_f1,0.35374976495753574
classification_accuracy,0.3127818448023312
classification_precision_arrival,0.24944639210264585
classification_recall_arrival,0.7226286474352644
classification_f1_arrival,0.3708707656233526
classification_accuracy_arrival,0.35231698389456984
classification_precision_departure,0.21064405390600272
classification_recall_departure,0.8375785588400164
classification_f1_departure,0.33662876429171884
classification_accuracy_departure,0.27324670571009246
regression_mae_delayed,9.627690194556134
regression_rmse_delayed,12.289430679562903
regression_mae_nondelayed,6.387490830336137
regression_rmse_nondelayed,6.5782626813593525
regression_mae_overall,7.172159900382972
regression_rmse_overall,8.32878230752592
regression_mae_delayed_arrival,9.68546571806712
regression_rmse_delayed_arrival,12.347378650540529
num_delayed_samples_arrival,72174
regression_mae_delayed_departure,9.558360719048512
regression_rmse_delayed_departure,12.21953154491133
num_delayed_samples_departure,60146
regression_mae_nondelayed_arrival,6.166754188855099
regression_rmse_nondelayed_arrival,6.362008942672746
num_nondelayed_samples_arrival,201026
regression_mae_nondelayed_departure,6.595765746978716
regression_rmse_nondelayed_departure,6.775982503098627
num_nondelayed_samples_departure,213054
regression_mae_overall_arrival,7.096327709753153
regression_rmse_overall_arrival,8.370109399238428
regression_mae_overall_departure,7.247992091012794
regression_rmse_overall_departure,8.28724912724929
num_delayed_samples,132320
num_nondelayed_samples,414080
target_epsilon,7.5
final_epsilon,0.0
epsilon_exceeded,False
epsilon_overshoot,0.0
final_delta,0.0
