epoch,training_loss,validation_loss,validation_mae
1,0.928665522,0.937340719,7.647885591
2,0.921022618,0.926629342,7.53148384
3,0.919855936,0.911723492,7.32225979
4,0.920584071,0.923112857,7.477430341
5,0.920661425,0.924247456,7.501846415
6,0.92079659,0.913965439,7.334858609
7,0.919846552,0.920634486,7.440587151
8,0.92073606,0.925786212,7.521864484
9,0.919844677,0.922671233,7.476587412
10,0.920523744,0.909874661,7.302304125
11,0.919756445,0.906101981,7.248134339
12,0.920138859,0.907656813,7.268391258
13,0.919150734,0.91602257,7.373673805
14,0.919826139,0.915018332,7.366041876
15,0.920121667,0.924742339,7.504973536
16,0.91996462,0.922744549,7.453263253
17,0.920492899,0.922486002,7.481475494
18,0.920424421,0.918548762,7.432547919
19,0.92040124,0.910504282,7.293584395
20,0.918927963,0.906934441,7.283148713
21,0.918876385,0.920923745,7.475195795
22,0.92081196,0.921616248,7.511456378
23,0.919822179,0.91298553,7.320308836
24,0.920446338,0.912776789,7.343904966
25,0.920280236,0.923408645,7.476314218
26,0.919818881,0.913030147,7.346484136
27,0.919335395,0.90604811,7.245010977
28,0.920655503,0.9188432,7.43968703
29,0.919376585,0.909260095,7.322115447
30,0.920115816,0.909107982,7.311165359
31,0.92070482,0.908528534,7.289802477
32,0.921413294,0.902600824,7.185587768
33,0.920287029,0.918397592,7.426558066
34,0.918539485,0.901788274,7.198798353
35,0.919343478,0.929220088,7.553769809
36,0.920893246,0.919263518,7.463537226
37,0.919440632,0.913108912,7.334423654
38,0.91946815,0.895549642,7.095782835
39,0.919886951,0.918407774,7.427716005
40,0.920271549,0.915538105,7.372375534
41,0.920008351,0.911283737,7.298318294
42,0.920499601,0.917361443,7.405891122
43,0.919181957,0.911200607,7.317855564
44,0.919324683,0.913879737,7.352119711
45,0.919822955,0.921334819,7.447651858
46,0.919388032,0.899033825,7.138043674
47,0.92081205,0.915893827,7.374318538
48,0.921359352,0.90673739,7.23479679
49,0.92087103,0.920410725,7.463815455
50,0.919631327,0.900650998,7.160364416
