epoch,training_loss,validation_loss,validation_mae,,,,,,
1,0.935909401,0.933322891,7.594721214,,,,,,
2,0.926277737,0.92668926,7.460912711,,,,,,
3,0.925167269,0.932624925,7.600662926,,,,,,
4,0.925698099,0.924834126,7.429543776,,,,,,
5,0.925201504,0.926928272,7.489966575,,,,,,
6,0.925827682,0.920285188,7.433729113,,,,,,
7,0.924576716,0.929604453,7.537240189,,,,,,"3 step ahead arrival delay, Test MAE: 11.2003 min, Test R2: -0.3087, Test RMSE: 13.8303 min"
8,0.925647978,0.925376785,7.457738962,,,,,,"6 step ahead arrival delay, Test MAE: 11.2002 min, Test R2: -0.3085, Test RMSE: 13.8302 min"
9,0.926417826,0.922981813,7.450533706,,,,,,"12 step ahead arrival delay, Test MAE: 10.8097 min, Test R2: -0.2247, Test RMSE: 13.3832 min"
10,0.923814129,0.917928771,7.400067143,,,,,,"3 step ahead departure delay, Test MAE: 6.5290 min, Test R2: -0.1164, Test RMSE: 9.4492 min"
11,0.923290761,0.92121342,7.380622133,,,,,,"6 step ahead departure delay, Test MAE: 6.5305 min, Test R2: -0.1165, Test RMSE: 9.4511 min"
12,0.922957561,0.910193372,7.221687418,,,,,,"12 step ahead departure delay, Test MAE: 6.5382 min, Test R2: -0.1162, Test RMSE: 9.4524 min"
13,0.923759153,0.928308489,7.515226256,,,,,,
14,0.923651969,0.918923201,7.379018853,,,,,,
15,0.924907735,0.922997797,7.42583576,,,,,,
16,0.924239387,0.926149685,7.478248508,,,,,,
17,0.923337968,0.92767067,7.506824766,,,,,,
18,0.923677739,0.919399435,7.386464961,,,,,,
19,0.924311189,0.923119855,7.43031862,,,,,,
20,0.922756849,0.927832085,7.510143544,,,,,,
21,0.923661714,0.914702985,7.29218839,,,,,,
22,0.922779884,0.931452771,7.54026214,,,,,,
23,0.923717239,0.911431961,7.299956941,,,,,,
24,0.923842665,0.910123581,7.25189461,,,,,,
25,0.923304849,0.912327312,7.285691018,,,,,,
26,0.924161939,0.927851771,7.534698272,,,,,,
27,0.922860661,0.919695101,7.420268887,,,,,,
28,0.923291358,0.917088367,7.341278325,,,,,,
29,0.925773545,0.917770719,7.385644533,,,,,,
30,0.924682139,0.910227544,7.255042769,,,,,,
31,0.923961615,0.91969845,7.384023159,,,,,,
32,0.924424454,0.925854306,7.484998303,,,,,,
33,0.923151447,0.918166399,7.355285117,,,,,,
34,0.923849536,0.919862864,7.343339947,,,,,,
35,0.92370572,0.916158946,7.349320149,,,,,,
36,0.923633409,0.943595016,7.726613467,,,,,,
37,0.925279471,0.927278003,7.477541901,,,,,,
38,0.923824605,0.933376352,7.606373226,,,,,,
39,0.924543893,0.936971201,7.626493502,,,,,,
40,0.923750121,0.932491071,7.574460164,,,,,,
41,0.923591758,0.928634026,7.524667036,,,,,,
42,0.923522637,0.91749557,7.337575677,,,,,,
43,0.922733981,0.917079189,7.36881985,,,,,,
44,0.92320348,0.925171723,7.49219667,,,,,,
45,0.922871462,0.919346137,7.339727215,,,,,,
46,0.923073707,0.92763532,7.489645669,,,,,,
47,0.924314837,0.929959653,7.536390498,,,,,,
48,0.922990179,0.931483268,7.567933637,,,,,,
49,0.924387771,0.930268159,7.556656232,,,,,,
50,0.923627374,0.937671645,7.621158172,,,,,,
