epoch,training_loss,validation_loss,validation_mae,,
1,0.935993546,0.932014374,7.605437281,,normal noise =1.5 grad 1.5
2,0.924333378,0.922433645,7.47466498,,e=0.46
3,0.922763569,0.933089752,7.622583409,,
4,0.922332763,0.924791598,7.488060297,,
5,0.921123017,0.92293998,7.482060277,,
6,0.921048818,0.914732854,7.33909152,,"3 step ahead arrival delay, Test MAE: 11.4509 min, Test R2: -0.3260, Test RMSE: 13.9215 min"
7,0.920041894,0.912650207,7.324739133,,"6 step ahead arrival delay, Test MAE: 11.4505 min, Test R2: -0.3258, Test RMSE: 13.9212 min"
8,0.921083439,0.920967857,7.419022611,,"12 step ahead arrival delay, Test MAE: 11.1293 min, Test R2: -0.2634, Test RMSE: 13.5929 min"
9,0.920197609,0.921674116,7.449342875,,"3 step ahead departure delay, Test MAE: 6.8678 min, Test R2: -0.0706, Test RMSE: 9.2533 min"
10,0.920820675,0.921155475,7.437016353,,"6 step ahead departure delay, Test MAE: 6.8688 min, Test R2: -0.0706, Test RMSE: 9.2550 min"
11,0.919836742,0.917985423,7.412454959,,"12 step ahead departure delay, Test MAE: 6.8922 min, Test R2: -0.0607, Test RMSE: 9.2140 min"
12,0.920671525,0.925297792,7.512813665,,
13,0.919926578,0.921628995,7.445101954,,
14,0.920102783,0.918572828,7.400697072,,
15,0.919504716,0.920182961,7.442527575,,
16,0.91986405,0.923863277,7.481893521,,
17,0.919357308,0.92496715,7.510807039,,
18,0.919704212,0.923268218,7.482114238,,
19,0.921124266,0.919619975,7.425204083,,
20,0.919304762,0.915329035,7.352260512,,
21,0.919283757,0.911361306,7.29759626,,
22,0.919218286,0.914431388,7.351052757,,
23,0.918378945,0.915230862,7.367025744,,
24,0.918421242,0.913850673,7.34646136,,
25,0.919495485,0.915269228,7.356893808,,
26,0.919219131,0.92459914,7.507562896,,
27,0.919718012,0.9205149,7.416325868,,
28,0.920110991,0.918399277,7.399727072,,
29,0.919229413,0.920927226,7.433426533,,
30,0.920085486,0.917769246,7.402088661,,
31,0.919534429,0.919244735,7.428614307,,
32,0.918809164,0.91908655,7.41556567,,
33,0.919736242,0.91367558,7.311833875,,
34,0.919657112,0.912018756,7.307037393,,
35,0.917869207,0.916454126,7.397609108,,
36,0.91901897,0.914965228,7.352238028,,
37,0.918814094,0.914134762,7.348991563,,
38,0.917783314,0.920702394,7.429246635,,
39,0.919724454,0.925090097,7.512743254,,
40,0.919523426,0.915054688,7.379622194,,
41,0.920491264,0.921707419,7.462425029,,
42,0.919346842,0.915421645,7.368660297,,
43,0.919442803,0.92057081,7.426604498,,
44,0.917865398,0.913179307,7.336746637,,
45,0.918173837,0.911290465,7.317927603,,
46,0.918536967,0.917605438,7.409752174,,
47,0.918810548,0.911947616,7.344245518,,
48,0.918822886,0.917985756,7.423600758,,
49,0.918562704,0.910049584,7.286372297,,
50,0.918258969,0.90973677,7.311142201,,
